Designator,Mid X,Mid Y,Rotation,Layer
C1,121.92,-86.59,90.0,top
C2,121.92,-78.33,90.0,top
C3,133.35,-82.8725,270.0,top
C4,137.16,-74.0625,270.0,top
C5,156.21,-74.0625,90.0,top
C6,135.89,-82.8725,270.0,top
C7,159.1,-74.0625,90.0,top
C8,133.985,-74.0625,90.0,top
D1,149.86,-67.31,270.0,top
D2,137.16,-67.31,270.0,top
D3,162.56,-67.31,270.0,top
Device,117.475,-77.47,0.0,top
J3,147.364,-87.618,0.0,top
PROG,117.5,-66.04,0.0,top
R1,146.05,-68.31,270.0,top
R2,140.97,-68.31,270.0,top
R3,158.75,-68.58,270.0,top
R4,130.81,-82.82,270.0,top
R5,130.81,-78.38,270.0,top
RESET,123.675,-66.33,0.0,top
U1,146.685,-78.74,270.0,top
Y1,126.365,-84.91,90.0,top
